product_id,product_name,category,hsn_code,sku,unit_of_measure,opening_stock,stock_in,stock_out,closing_stock,reorder_level,reorder_qty,unit_cost,selling_price,warehouse_location,last_updated,supplier_id,lead_time_days,abc_category
PRD-A01,Enterprise Analytics Suite,Software License,998314,SW-ENT-001,License,120,50,68,102,20,30,18000,45000,Digital,2025-02-28,SUP001,7,A
PRD-B02,Hospital Management Module,Software License,998313,SW-HOS-001,License,25,10,8,27,5,10,75000,180000,Digital,2025-02-28,SUP001,7,A
PRD-C03,Industrial IoT Sensors,Hardware,848990,HW-IOT-001,Unit,500,200,185,515,100,200,3500,8500,Warehouse-A,2025-02-28,SUP002,14,A
PRD-D04,ERP Integration Package,Software License,998316,SW-ERP-001,License,15,5,4,16,3,5,140000,350000,Digital,2025-02-28,SUP001,7,A
PRD-E05,CRM Starter Pack,Software License,998315,SW-CRM-001,License,200,100,95,205,50,100,5000,12000,Digital,2025-02-28,SUP001,3,B
PRD-F06,Fleet Management System,Software License,998314,SW-FLT-001,License,30,15,12,33,8,15,40000,95000,Digital,2025-02-28,SUP001,7,B
PRD-G07,Property Management Suite,Software License,998315,SW-PRP-001,License,40,20,18,42,10,20,32000,75000,Digital,2025-02-28,SUP001,7,B
PRD-H08,Inventory Control Pro,Software License,998316,SW-INV-001,License,80,40,35,85,20,40,12000,28000,Digital,2025-02-28,SUP001,3,B
PRD-I09,AI Reporting Module,Software License,998314,SW-AIR-001,License,60,30,28,62,15,30,9000,22000,Digital,2025-02-28,SUP001,3,B
PRD-J10,E-commerce Plugin,Software License,998315,SW-ECO-001,License,150,75,70,155,40,75,7500,18000,Digital,2025-02-28,SUP001,3,C
PRD-K11,Learning Management System,Software License,998313,SW-LMS-001,License,45,20,18,47,10,20,15000,35000,Digital,2025-02-28,SUP001,7,B
PRD-L12,Telemedicine Module,Software License,998316,SW-TLM-001,License,20,10,8,22,5,10,50000,120000,Digital,2025-02-28,SUP001,7,A
PRD-M13,POS System,Hardware,847190,HW-POS-001,Unit,80,40,32,88,20,40,18000,42000,Warehouse-A,2025-02-28,SUP002,21,B
PRD-N14,Supply Chain Module,Software License,998316,SW-SCM-001,License,10,5,4,11,3,5,115000,280000,Digital,2025-02-28,SUP001,7,A
PRD-O15,Quality Control Suite,Software License,998314,SW-QCS-001,License,35,20,18,37,10,20,16000,38000,Digital,2025-02-28,SUP001,7,B
PRD-P16,Dealer Management System,Software License,998315,SW-DMS-001,License,18,8,6,20,5,8,60000,145000,Digital,2025-02-28,SUP001,7,A
PRD-Q17,Artisan Marketplace Plugin,Software License,998315,SW-AMP-001,License,100,50,45,105,30,50,6000,15000,Digital,2025-02-28,SUP001,3,C
PRD-R18,Network Security Suite,Software License,998316,SW-SEC-001,License,22,10,8,24,5,10,85000,195000,Digital,2025-02-28,SUP001,7,A
PRD-S19,Cloud Backup Solution,Software License,998314,SW-BKP-001,License,55,25,22,58,15,25,11000,25000,Digital,2025-02-28,SUP001,3,B
PRD-T20,Barcode Scanner,Hardware,847190,HW-BAR-001,Unit,12,0,0,12,5,10,2200,5500,Warehouse-A,2025-02-28,SUP002,21,C
