invoice_date,item_desc,service_added,job_type,liter_volume,material_cost,billed_amount,contractor_id
2023-01-01,Custom Mix (Blue),In-home Consult,Industrial,45.6,60.87,350.52,PAINT-930
2023-01-02,Brushes Set,None,Commercial,40.5,127.17,726.11,PAINT-567
2023-01-03,Brushes Set,None,Residential,6.4,126.06,513.46,PAINT-432
2023-01-04,Brushes Set,Color Matching,Residential,35.4,64.78,417.15,PAINT-582
2023-01-05,Glossy Enamel,Color Matching,Residential,8.1,57.91,779.28,PAINT-447
2023-01-06,Brushes Set,In-home Consult,Commercial,39.1,119.98,649.77,PAINT-587
2023-01-07,Matte White Base,None,Auto,11.9,168.83,227.17,PAINT-500
2023-01-08,Primer 5L,None,Auto,28.4,147.77,222.96,PAINT-515
2023-01-09,Glossy Enamel,Delivery,Residential,22.6,62.93,121.09,PAINT-938
2023-01-10,Custom Mix (Blue),Delivery,Commercial,11.1,64.25,370.22,PAINT-404
2023-01-11,Glossy Enamel,In-home Consult,Residential,8.6,46.59,154.12,PAINT-114
2023-01-12,Matte White Base,None,Industrial,14.6,90.49,754.05,PAINT-765
2023-01-13,Brushes Set,Delivery,Commercial,11.3,40.2,568.7,PAINT-510
2023-01-14,Brushes Set,Color Matching,Auto,3.9,122.72,304.23,PAINT-530
2023-01-15,Glossy Enamel,Delivery,Auto,32.9,18.75,496.58,PAINT-445
2023-01-16,Custom Mix (Blue),Color Matching,Commercial,46.2,194.7,377.15,PAINT-188
2023-01-17,Glossy Enamel,Delivery,Auto,7.6,175.12,311.85,PAINT-258
2023-01-18,Primer 5L,Delivery,Commercial,18.7,45.66,191.75,PAINT-934
2023-01-19,Glossy Enamel,In-home Consult,Commercial,41.1,111.35,433.64,PAINT-575
2023-01-20,Primer 5L,Color Matching,Commercial,40.1,138.19,746.18,PAINT-635
2023-01-21,Brushes Set,None,Industrial,1.1,116.93,627.87,PAINT-396
2023-01-22,Custom Mix (Blue),None,Residential,34.6,14.14,445.83,PAINT-385
2023-01-23,Matte White Base,Delivery,Commercial,17.6,108.43,380.84,PAINT-168
2023-01-24,Primer 5L,In-home Consult,Commercial,28.2,54.36,608.14,PAINT-917
2023-01-25,Brushes Set,In-home Consult,Industrial,14.8,151.13,549.23,PAINT-790
2023-01-26,Primer 5L,Delivery,Auto,36.5,160.85,506.41,PAINT-508
2023-01-27,Glossy Enamel,In-home Consult,Residential,38.9,137.39,304.65,PAINT-761
2023-01-28,Primer 5L,In-home Consult,Industrial,32.3,164.89,662.2,PAINT-471
2023-01-29,Custom Mix (Blue),In-home Consult,Commercial,11.4,184.18,688.36,PAINT-308
2023-01-30,Matte White Base,None,Industrial,30.4,77.34,397.22,PAINT-434
2023-01-31,Glossy Enamel,Delivery,Industrial,38.3,63.72,209.8,PAINT-813
2023-02-01,Primer 5L,Delivery,Residential,48.1,45.31,763.35,PAINT-339
2023-02-02,Glossy Enamel,None,Auto,9.1,23.5,476.39,PAINT-694
2023-02-03,Primer 5L,In-home Consult,Auto,26.8,143.55,507.35,PAINT-909
2023-02-04,Custom Mix (Blue),Delivery,Auto,36.0,123.34,538.33,PAINT-692
2023-02-05,Custom Mix (Blue),In-home Consult,Auto,29.3,97.06,171.91,PAINT-430
2023-02-06,Glossy Enamel,Delivery,Residential,27.4,53.0,620.88,PAINT-306
2023-02-07,Primer 5L,None,Residential,48.6,117.77,384.79,PAINT-852
2023-02-08,Custom Mix (Blue),In-home Consult,Commercial,9.9,148.11,724.71,PAINT-542
2023-02-09,Matte White Base,Delivery,Commercial,42.1,79.58,80.72,PAINT-832
2023-02-10,Glossy Enamel,Color Matching,Industrial,47.2,37.79,633.83,PAINT-280
2023-02-11,Brushes Set,Delivery,Commercial,20.4,156.29,477.09,PAINT-815
2023-02-12,Primer 5L,Color Matching,Industrial,49.2,199.14,635.3,PAINT-903
